,no_of_items,variation,total,paid,change
256,1,1,115.0,200.0,85.0
257,2,1,30.0,100.0,70.0
258,2,2,160.0,200.0,40.0
259,1,1,55.0,100.0,45.0
260,1,1,55.0,500.0,445.0
261,1,1,280.0,300.0,20.0
262,1,1,50.0,50.0,0.0
263,2,2,175.0,500.0,325.0
264,1,1,50.0,50.0,0.0
265,1,1,120.0,150.0,30.0
266,1,1,150.0,150.0,0.0
267,1,1,49.0,50.0,1.0
268,2,2,78.0,1000.0,922.0
269,1,1,100.0,100.0,0.0
270,2,1,150.0,150.0,0.0
271,8,4,1422.0,2000.0,578.0
272,2,1,110.0,500.0,390.0
273,1,1,260.0,1000.0,740.0
274,2,2,150.0,500.0,350.0
275,1,1,95.0,100.0,5.0
276,3,2,158.0,200.0,42.0
277,1,1,60.0,200.0,140.0
278,1,1,90.0,500.0,410.0
279,2,1,79.0,100.0,21.0
280,2,1,266.0,500.0,234.0
281,4,2,590.0,1000.0,410.0
282,4,2,705.0,705.0,0.0
283,2,1,20.0,100.0,80.0
284,1,1,90.0,100.0,10.0
285,3,2,355.0,400.0,45.0
286,1,1,90.0,100.0,10.0
287,4,2,315.0,500.0,185.0
288,3,2,410.0,410.0,0.0
289,1,1,45.0,50.0,5.0
290,1,1,55.0,1000.0,945.0
291,1,1,150.0,500.0,350.0
292,1,1,96.0,200.0,104.0
293,3,2,105.0,110.0,5.0
294,1,1,150.0,200.0,50.0
295,1,1,115.0,200.0,85.0
296,1,1,135.0,200.0,65.0
297,3,2,278.0,1000.0,722.0
298,2,2,110.0,110.0,0.0
299,1,1,95.0,100.0,5.0
300,1,1,71.0,100.0,29.0
301,4,1,240.0,1000.0,760.0
302,1,1,100.0,100.0,40.0
303,2,1,238.0,300.0,62.0
304,1,1,60.0,100.0,40.0
305,1,1,25.0,30.0,5.0
306,1,1,100.0,100.0,0.0
307,1,1,105.0,105.0,0.0
308,2,2,134.0,150.0,16.0
309,2,2,115.0,200.0,85.0
310,3,2,191.0,200.0,9.0
311,4,3,373.0,500.0,127.0
312,3,2,245.0,300.0,55.0
313,2,2,192.0,1000.0,808.0
314,1,1,55.0,100.0,45.0
315,3,3,337.0,500.0,167.0
316,4,2,785.0,1000.0,215.0
317,2,1,130.0,200.0,70.0
318,1,1,45.0,45.0,0.0
319,2,2,345.0,500.0,155.0
320,1,1,47.0,100.0,53.0
321,1,1,26.0,50.0,24.0
322,1,1,65.0,1000.0,935.0
323,3,2,150.0,500.0,350.0
324,1,1,60.0,100.0,40.0
325,1,1,92.0,100.0,8.0
326,3,2,186.0,200.0,14.0
327,1,1,55.0,100.0,45.0
328,2,2,105.0,110.0,5.0
329,1,1,45.0,100.0,55.0
330,1,1,90.0,100.0,10.0
331,1,1,72.0,100.0,28.0
332,2,2,90.0,100.0,10.0
333,2,2,182.0,500.0,318.0
334,3,3,233.0,300.0,67.0
335,4,3,261.0,300.0,39.0
336,1,1,100.0,100.0,0.0
337,2,1,219.0,240.0,21.0
338,4,3,274.0,1000.0,726.0
339,1,1,30.0,50.0,20.0
340,1,1,150.0,200.0,50.0
341,2,1,100.0,100.0,0.0
342,1,1,45.0,45.0,0.0
343,2,2,90.0,200.0,110.0
344,1,1,96.0,100.0,4.0
345,2,2,106.0,500.0,394.0
346,1,1,135.0,200.0,65.0
347,2,1,305.0,505.0,200.0
348,6,2,390.0,1000.0,610.0
349,2,2,89.0,100.0,11.0
350,2,2,105.0,110.0,5.0
351,2,2,530.0,1030.0,500.0
352,2,2,310.0,1000.0,690.0
353,5,4,658.0,1000.0,342.0
354,2,1,216.0,500.0,284.0
355,2,1,100.0,100.0,0.0
356,2,2,150.0,150.0,0.0
357,1,1,88.0,1000.0,912.0
358,3,2,200.0,500.0,300.0
359,3,1,887.0,1000.0,113.0
360,9,4,497.0,497.0,0.0
361,2,1,90.0,100.0,10.0
362,1,1,25.0,25.0,0.0
363,3,2,250.0,250.0,0.0
364,2,2,137.0,500.0,363.0
365,2,1,173.0,500.0,327.0
366,1,1,55.0,500.0,445.0
367,2,1,129.0,1000.0,891.0
368,1,1,282.0,500.0,218.0
369,1,1,76.0,500.0,424.0
370,3,2,225.0,1000.0,775.0
371,2,2,117.0,1007.0,890.0
372,1,1,470.0,500.0,30.0
373,2,2,129.0,500.0,371.0
374,5,2,692.0,692.0,0.0
375,1,1,40.0,100.0,60.0
376,4,1,275.0,275.0,0.0
377,4,1,840.0,1000.0,160.0
378,1,1,182.0,200.0,18.0
379,1,1,50.0,200.0,150.0
380,1,1,67.0,67.0,0.0
381,1,1,50.0,50.0,0.0
382,1,1,30.0,50.0,20.0
383,2,2,164.0,164.0,0.0
384,1,1,1.0,1.0,0.0
385,1,1,340.0,340.0,0.0
386,1,1,450.0,450.0,0.0
387,1,1,170.0,170.0,0.0
388,2,2,115.0,1000.0,885.0
389,4,2,283.0,400.0,117.0
390,1,1,30.0,200.0,170.0
391,2,1,220.0,250.0,30.0
392,1,1,85.0,500.0,415.0
393,1,1,76.0,500.0,424.0
394,1,1,110.0,500.0,390.0
395,6,3,557.0,1000.0,443.0
396,1,1,180.0,200.0,20.0
397,1,1,67.0,100.0,33.0
398,12,3,1876.0,2000.0,124.0
399,1,1,96.0,100.0,4.0
400,3,2,547.0,1000.0,453.0
401,2,2,144.0,200.0,56.0
402,1,1,90.0,100.0,10.0
403,1,1,65.0,1000.0,935.0
404,1,1,100.0,100.0,0.0
405,8,2,612.0,1000.0,388.0
406,2,1,143.0,200.0,57.0
407,2,2,430.0,1000.0,570.0
408,1,1,170.0,200.0,30.0
409,1,1,40.0,50.0,10.0
410,1,1,100.0,200.0,100.0
411,2,1,245.0,1000.0,755.0
412,1,1,45.0,500.0,455.0
413,5,3,283.0,500.0,217.0
414,4,2,474.0,1000.0,526.0
415,1,1,60.0,1000.0,940.0
416,2,2,265.0,265.0,0.0
417,7,2,845.0,845.0,0.0
418,6,2,566.0,1000.0,434.0
419,1,1,51.0,51.0,0.0
420,1,1,200.0,200.0,0.0
421,5,2,635.0,1000.0,365.0
422,1,1,90.0,100.0,10.0
423,1,1,205.0,220.0,15.0
424,2,1,159.0,200.0,41.0
426,1,1,55.0,60.0,5.0
427,2,1,140.0,200.0,60.0
428,2,1,85.0,85.0,0.0
429,2,2,150.0,200.0,50.0
430,1,1,65.0,65.0,0.0
431,3,2,455.0,500.0,45.0
433,1,1,52.0,60.0,8.0
434,1,1,100.0,100.0,0.0
435,6,2,515.0,515.0,0.0
436,1,1,200.0,200.0,0.0
437,1,1,80.0,100.0,20.0
438,1,1,70.0,1000.0,930.0
439,1,1,99.0,100.0,1.0
440,1,1,80.0,100.0,20.0
441,1,1,40.0,40.0,0.0
442,1,1,50.0,50.0,0.0
443,1,1,40.0,40.0,0.0
444,1,1,70.0,70.0,0.0
445,1,1,88.0,500.0,412.0
446,9,1,1075.0,1100.0,25.0
447,2,2,145.0,1000.0,855.0
449,2,1,120.0,120.0,0.0
450,1,1,25.0,55.0,30.0
451,1,1,147.0,200.0,53.0
